
Dilwale Dulhania Le Jayenge 1995, Jatin–Lalit|
Karan Arjun 1995, Rajesh Roshan|
Coolie No1 1995, Anand-Milind|
Raja Hindustani 1996, Nadeem-Shravan|Surinder Sodhi|
Jeet 1996, Nadeem-Shravan|Koti|
Ghatak 1996, 
Agni Sakshi 1996, Nadeem-Shravan|Sameer|BGM|
Saajan Chale Sasural 1996, Nadeem-Shravan|
Border 1997, Anu Malik|Aadesh Shrivastava|
Dil To Pagal Hai 1997, Uttam Singh|
Ishq 1997, Anu Malik|Surinder Sodhi|
Pardes 1997, Nadeem-Shravan|
Ziddi 1997, Dilip Sen-Sameer Sen|Surinder Sodhi|
Hero No1 1997, Anand-Milind|
Judwaa 1997, Anu Malik|Koti|
Kuch Kuch Hota Hai 1998, Jatin-Lalit|
Bade Miyan Chote Miyan 1998, Viju Shah|
Pyaar To Hona Hi Tha 1998, Jatin Lalit|Surinder Sodhi|
Pyaar Kiya To Darna Kya 1998, Jatin Lalit|Himesh Reshammiya|Sajid-Wajid|
Soldier 1998, Joel McNeely|[1]|
Saudagar 1998, Laxmikant-Pyarelal|
Hum Saath Saath Hain 1999, Raamlaxman|
Biwi No1 1999, Anu Malik|
Hum Dile De Chuke Sanam 1999, Ismail Darbar|
Taal 1999, A. R. Rahman|
Hum 1999, Laxmikant-Pyarelal|
Kaho Naa Pyaar Hai 2000, Rajesh Roshan|Vangelis|
Mohabbatein 2000, Jatin-Lalit|
Mission Kashmir 2000, Shankar-Ehsaan-Loy|
Josh 2000, Anu Malik|
Refugee 2000, Anu Malik|
Gadar Ek Prem Katha 2001, Uttam Singh|
Kabhi Khushi Kabhie Gham 2001, Jatin Lalit|Sandesh Shandilya|Aadesh Shrivastava|
Lagaan 2001, A. R. Rahman|
Indian 2001, Anand Raj Anand|
Devdas 2002, Ismail Darbar|Monty Sharma|
Raaz 2002, Nadeem-Shravan|
Kaante 2002, Anand Raj Anand|Vishal-Shekhar|Lucky Ali|
Koi Mil Gaya 2003, Rajesh Roshan|
Kal Ho Na Ho 2003, Shankar–Ehsaan–Loy|
The Hero 2003, 
Veer Zaara 2004, Madan Mohan|
Main Hoon Na 2004, Anu Malik|
Mujhse Shaadi Karogi 2004, Sajid-Wajid|Anu Malik|Salim-Sulaiman|
Dhoom 2004, Pritam|Salim-Sulaiman|
No Entry 2005, Anu Malik|
Bunti Aur Babli 2005, Shankar-Ehsaan-Loy|
Dhoom 2 2006, Pritam|Salim-Sulaiman|
Krissh 2006, 
Lage Raho Munnabhai 2006, Shantanu Moitra|
Fanaa 2006, Jatin-Lalit|Salim-Sulaiman|
Don 2006, Shankar-Ehsaan-Loy|Himesh Reshammiya|Mithoon|
Rang De Basanti 2006, A. R. Rahman|
Kabhi Alvida Na Kehna 2006, Shankar-Ehsaan-Loy|
Phir Hera Pheri 2006, Himesh Reshammiya|
Bhagam Bhag 2006, Pritam|
Om Shanti Om 2007, Vishal-Shekhar|Sandeep Chowta|Pyarelal Ramprasad Sharma|
Welcome 2007, Sajid-Wajid|
